1	1	5	874965758
1	2	3	876893171
1	4	1	875072484
1	5	5	878543541
1	10	1	878542772
1	14	4	875072404
1	17	3	875072442
1	27	3	878542515
1	28	5	888732909
2	1	4	888550871
2	3	2	888551853
2	4	4	888551853
2	5	4	888551648
2	11	4	888551853
2	17	5	888552084
2	22	3	888549961
2	23	4	888551647
2	27	4	888551552
2	29	4	888551174
2	32	4	888551922
3	18	4	889237482
3	8	2	889237026
3	26	4	889237455
3	28	3	889236961
3	4	2	889237026
3	32	2	889236939
3	33	3	889236983
3	17	2	889237482
3	32	5	889237482
3	31	5	889237455
4	5	5	892003526
4	20	4	892004275
4	24	3	892004275
4	28	4	892001445
4	29	5	892004409
4	30	5	892002352
4	34	5	892002353
4	35	3	892003459
4	37	4	892003525
4	31	5	892002353
5	21	3	875635327
5	25	3	875635318
5	29	4	875637023
5	50	4	875635758
5	70	4	875636389
5	95	4	875721168
5	99	3	875721216
5	11	5	878844510
5	13	4	875637536
5	51	3	875635723
6	12	4	883601053
6	13	2	883599400
6	21	3	883600152
6	22	3	883602048
6	47	3	883600943
6	50	4	883600842
6	64	4	883600597
6	17	5	883599327
6	65	5	883600747
6	16	4	883601426
7	23	3	891351383
7	27	4	891352692
7	29	3	891353828
7	47	5	891352692
7	51	2	891352984
7	56	5	891351432
7	62	3	891354499
7	64	5	891350756
7	77	5	891353325
7	80	4	891354381
8	82	5	879362356
8	17	5	879362183
8	15	5	879362287
8	28	5	879362286
8	9	5	879362356
8	33	4	879362423
8	41	4	879362423
8	59	1	879361604
8	73	3	879362287
8	34	2	879361825
8	43	5	879362233
9	7	4	886960030
9	50	5	886960055
9	21	5	886960055
9	42	4	886958715
9	27	4	886959423
9	29	4	886959453
9	71	5	886960055
9	85	5	886960055
9	48	4	886959343
10	11	4	877888677
10	32	4	877886661
10	33	4	877893020
10	50	5	877888545
10	82	4	877886912
10	16	4	877888944
10	29	4	877891966
10	34	5	877889131
10	37	4	877889186
10	57	5	877889004
11	24	3	891904016
11	39	3	891905824
11	56	4	891904949
11	57	2	891904552
11	69	3	891904270
11	70	4	891904573
11	79	4	891905783
11	86	4	891904551
11	98	2	891905783
11	68	3	891904949
12	33	4	879959670
12	59	4	879959306
12	68	4	879959513
12	70	4	879959374
12	95	4	879959670
12	2	4	879959514
12	16	5	879960826
12	42	5	879960826
12	32	4	879959025
12	91	5	879959212
12	8	3	879959394
13	1	3	882140487
13	4	5	882141306
13	5	1	882396869
13	7	2	882396790
13	12	5	881515011
13	13	5	882141617
13	17	1	882396954
13	23	5	882139937
13	32	4	882140286
13	51	3	882399419
14	12	5	890881216
14	32	5	890881485
14	96	4	890881433
14	24	5	876964936
14	17	2	879644647
14	21	5	879119739
14	72	4	876965061
14	38	5	879119579
14	88	4	876964936
14	19	1	884482684
15	13	1	879455940
15	14	4	879455659
15	15	4	879455939
15	50	5	879455606
15	18	1	879456381
15	81	5	879455710
15	35	1	879456424
15	43	1	879455362
15	28	1	879455871
15	51	2	879455541
15	22	2	879456351
16	1	5	877717833
16	4	5	877726390
16	11	5	877718755
16	12	5	877718168
16	58	4	877720118
16	79	5	877727122
16	95	5	877728417
16	19	4	877719333
16	43	5	877727192
16	20	5	877722736
16	24	5	877722736
17	17	3	885272724
17	37	4	885272606
17	50	5	885272654
17	86	3	885165619
17	94	4	885166209
17	23	1	885166256
17	46	3	885165655
17	54	4	885166290
17	43	1	885166255
18	4	3	880132150
18	6	5	880130764
18	9	5	880130550
18	42	3	880130713
18	45	5	880130739
18	60	4	880132055
18	61	4	880130803
18	65	5	880130333
18	66	3	880131728
18	79	4	880131450
18	91	3	880130393
18	73	3	880129595
19	21	3	885412840
19	11	4	885412840
19	68	2	885412034
19	88	3	885411840
19	19	4	885411465
19	32	4	885412251
19	88	4	885411465
20	94	2	879669954
20	51	3	879668555
20	74	4	879669087
20	81	4	879667904
20	21	4	879669065
20	35	1	879669244
20	42	2	879669313
20	49	3	879669001
20	58	4	879669120
20	76	1	879668476
20	82	2	879668626
20	86	1	879668583
20	93	4	879668783
21	5	2	874951761
21	7	5	874951292
21	17	4	874951695
21	12	4	874951382
21	14	1	874951761
21	20	5	874951695
21	21	5	874951658
21	40	4	874951245
21	43	2	874951039
21	44	4	874951349
22	21	4	878886750
22	24	5	878888026
22	53	3	878888107
22	85	5	878886989
22	94	3	878887277
22	15	1	878887347
22	19	4	878886710
22	63	1	878886845
22	67	3	878887023
22	75	4	878886682
23	7	4	874784385
23	14	4	874784440
23	19	4	874784466
23	79	4	874785957
23	82	3	874787449
23	91	4	884550049
23	95	4	874786220
23	10	5	874784557
23	24	5	874784440
23	12	4	874785756
23	34	4	874786098
24	8	5	875323002
24	24	5	875323100
24	41	5	875323594
24	65	5	875323308
24	68	5	875323051
24	27	5	875323879
24	75	5	875323474
24	55	5	875323595
24	79	5	875322847
24	65	5	875323440
24	95	4	875323002
25	16	4	885853335
25	31	4	885852611
25	41	4	885852720
25	43	3	885852529
25	86	4	885852569
25	95	4	885852008
25	65	4	885853415
25	74	4	885852008
25	79	5	885852569
25	68	4	885852529
25	55	4	885852248
25	37	4	885852611
25	68	4	885852218
